index,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
2497,112,0.8112304150017735,294.0,452119.0,True,4000,0.7,1000
2498,113,0.887748894001561,294.0,456120.0,True,4000,0.7,1000
2499,114,0.9640729570019175,294.0,460121.0,True,4000,0.7,1000
2500,115,1.0408905660005985,294.0,464122.0,True,4000,0.7,1000
2501,116,1.1167077610007254,294.0,468123.0,True,4000,0.7,1000
2502,117,1.1927987490016676,294.0,472124.0,True,4000,0.7,1000
2503,118,1.2692126990004908,294.0,476125.0,True,4000,0.7,1000
2504,119,1.345586113002355,294.0,480126.0,True,4000,0.7,1000
2505,120,1.4216991909997887,294.0,484127.0,True,4000,0.7,1000
2506,121,1.498089330001676,294.0,488128.0,True,4000,0.7,1000
2507,122,1.5742458480017376,294.0,492129.0,True,4000,0.7,1000
2508,123,1.6502978640019137,294.0,496130.0,True,4000,0.7,1000
2509,124,1.72657584999979,294.0,500131.0,True,4000,0.7,1000
2510,125,1.8034399179996399,294.0,504132.0,True,4000,0.7,1000
